Category: All categories,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Month,glycerin: (United States),lecithin: (United States),xanthan gum: (United States),citric acid: (United States),sodium benzoate: (United States),sodium hydroxide: (United States),niacinamide: (United States),silica: (United States),camellia: (United States),lactic acid: (United States),citronellol: (United States),cetyl alcohol: (United States),acrylates: (United States),geraniol: (United States),stearic acid: (United States),shea butter: (United States),allantoin: (United States),maltodextrin: (United States)
12-05,28,22,4,27,5,15,3,31,13,16,0,0,0,0,41,38,0,12
1-06,30,26,6,26,6,19,2,34,17,20,0,15,0,0,53,34,2,16
2-06,30,27,4,32,9,27,2,34,21,21,0,0,0,0,67,34,4,19
3-06,29,27,6,30,13,26,2,34,24,19,12,17,0,0,79,33,4,15
4-06,29,25,4,30,10,21,2,33,22,19,0,0,12,0,52,31,2,18
5-06,28,27,4,28,9,18,3,34,21,19,0,0,0,0,44,28,4,16
6-06,26,25,5,21,6,14,3,38,16,15,0,0,13,0,53,26,0,16
7-06,31,25,3,19,6,11,3,32,13,16,0,17,0,20,46,28,0,19
8-06,31,24,4,20,7,10,1,33,13,16,0,0,13,11,44,26,2,16
9-06,28,23,4,24,9,23,3,32,15,17,0,26,0,0,73,23,2,16
10-06,29,23,4,31,6,29,3,31,17,17,0,15,0,0,56,30,2,12
11-06,28,23,5,34,7,24,2,30,15,19,0,14,0,0,52,32,2,14
12-06,30,20,4,28,5,15,2,28,14,17,0,17,0,0,58,36,2,13
1-07,30,25,6,25,6,17,3,31,16,17,0,14,0,0,54,33,2,17
2-07,26,23,6,29,7,21,3,32,18,20,0,19,0,0,50,35,2,17
3-07,27,24,6,27,6,20,2,30,22,18,0,11,12,0,57,29,3,18
4-07,28,23,6,28,7,32,3,32,19,18,0,13,0,0,58,30,2,19
5-07,31,23,5,26,27,18,3,33,19,18,0,16,0,12,49,29,2,17
6-07,29,23,5,19,18,11,3,34,14,15,0,14,0,0,41,31,2,20
7-07,31,22,5,20,8,10,2,31,14,16,0,12,0,12,38,29,2,18
8-07,28,21,6,20,7,12,3,32,14,15,0,17,10,0,42,31,2,17
9-07,35,26,5,27,12,25,2,34,13,20,0,18,0,0,79,26,1,18
10-07,31,22,6,31,8,30,3,34,16,20,0,16,0,7,59,28,2,16
11-07,33,26,6,29,7,20,3,30,13,19,0,16,0,9,54,31,2,16
12-07,30,19,6,27,6,14,3,27,13,18,0,20,0,0,56,38,2,15
1-08,33,26,6,24,8,17,3,33,16,17,0,20,8,0,64,34,1,19
2-08,30,25,6,28,8,24,3,32,19,20,0,20,8,0,62,28,1,17
3-08,30,26,7,30,7,21,3,34,20,19,0,17,10,9,53,31,2,19
4-08,29,24,6,28,9,24,3,32,19,18,0,21,11,12,65,28,2,19
5-08,28,23,6,25,7,17,2,32,18,16,0,16,0,7,48,29,1,17
6-08,28,22,5,20,6,14,3,33,14,16,0,14,0,11,40,26,2,18
7-08,30,24,5,19,5,12,3,31,13,16,0,15,8,7,38,30,2,18
8-08,29,23,5,18,5,10,3,29,13,17,0,14,7,6,32,28,2,17
9-08,30,23,5,26,6,25,3,31,14,18,0,10,0,7,71,28,2,17
10-08,30,23,5,35,8,31,2,31,14,22,5,11,0,7,54,32,1,16
11-08,30,23,6,33,7,24,3,30,14,20,0,13,7,6,56,32,2,15
12-08,32,20,6,33,5,15,3,27,13,16,0,14,0,0,48,34,2,14
1-09,32,22,6,23,6,18,3,29,17,19,0,16,0,0,55,40,2,18
2-09,32,24,6,32,8,26,4,36,18,23,0,17,0,7,65,36,2,21
3-09,31,23,7,32,8,31,4,35,19,22,0,16,6,0,58,34,2,19
4-09,32,23,6,30,8,24,4,32,18,22,0,14,0,6,66,33,2,18
5-09,29,20,7,28,6,18,3,32,18,19,5,11,0,9,46,33,2,17
6-09,30,22,7,22,6,16,4,33,14,18,0,13,5,16,42,33,1,19
7-09,33,20,8,21,6,12,3,32,14,18,0,16,0,14,38,38,2,19
8-09,30,21,7,19,5,11,3,30,13,16,0,10,8,6,33,35,2,18
9-09,35,20,7,27,7,27,3,34,14,20,0,12,0,0,64,31,2,18
10-09,36,23,7,39,8,34,3,34,15,24,0,17,7,7,69,37,2,17
11-09,36,21,9,34,7,27,5,31,18,21,0,15,6,0,68,38,2,17
12-09,40,19,7,36,5,17,3,27,15,19,0,16,5,5,48,43,2,15
1-10,34,25,8,27,6,20,4,30,17,21,0,16,8,7,51,42,2,20
2-10,40,26,9,33,7,30,4,33,18,24,0,20,9,8,64,40,2,22
3-10,39,26,9,35,9,29,4,33,23,25,5,18,6,6,58,40,2,22
4-10,38,23,8,33,7,26,3,33,23,23,0,16,7,8,56,37,2,20
5-10,37,21,8,28,6,18,4,31,19,20,6,22,5,10,53,39,2,20
6-10,37,22,7,22,4,13,4,33,14,18,0,14,7,12,35,41,2,19
7-10,37,23,7,22,5,11,4,28,13,17,0,12,5,10,30,36,2,18
8-10,36,21,8,18,4,10,4,28,13,18,0,11,5,6,28,35,2,20
9-10,39,23,8,27,8,27,3,30,15,21,0,11,4,4,65,35,1,20
10-10,39,22,9,38,7,31,2,32,15,24,0,13,4,5,53,36,2,19
11-10,37,22,9,34,6,25,3,27,16,22,0,13,0,9,49,36,2,18
12-10,38,19,9,27,5,16,3,27,14,20,0,12,7,5,42,45,1,15
1-11,48,27,10,28,6,21,3,29,19,22,0,21,7,5,60,52,2,26
2-11,45,27,11,35,7,30,4,32,22,26,3,22,5,4,66,54,2,24
3-11,44,25,10,37,8,29,4,34,24,27,0,17,5,9,60,48,1,24
4-11,43,25,12,34,7,28,4,31,24,23,0,15,5,7,59,43,2,24
5-11,44,23,10,30,6,21,3,31,22,23,0,17,4,12,52,45,2,22
6-11,50,24,11,26,5,16,4,33,19,21,0,19,5,17,40,48,1,23
7-11,42,23,12,25,6,12,4,29,19,20,4,16,5,12,34,49,2,23
8-11,43,22,11,23,5,13,4,30,18,19,3,13,3,10,37,47,2,22
9-11,44,23,11,32,11,29,3,29,17,23,0,15,0,8,66,43,2,24
10-11,44,26,13,42,8,35,4,30,19,27,0,18,4,6,57,47,2,21
11-11,45,23,13,38,6,27,3,28,19,29,0,18,4,6,57,49,2,20
12-11,47,21,11,35,5,17,3,26,19,22,0,18,4,8,42,54,2,19
1-12,45,28,13,30,7,20,4,28,21,24,0,24,5,4,48,55,2,28
2-12,44,30,15,38,8,29,4,33,24,28,3,17,5,8,64,51,2,29
3-12,45,26,13,41,8,29,4,30,26,26,0,19,7,7,54,52,2,25
4-12,48,27,14,39,8,25,4,28,25,25,0,18,6,9,61,55,2,27
5-12,43,24,14,31,6,20,3,29,25,24,0,11,4,10,53,54,1,26
6-12,47,23,14,26,6,13,3,32,19,21,0,14,4,13,38,59,2,26
7-12,48,25,14,25,6,12,4,27,18,21,0,16,6,23,38,57,1,25
8-12,44,27,15,25,5,11,3,30,18,27,0,18,4,10,29,60,2,25
9-12,50,26,14,36,8,30,3,30,18,24,0,15,4,9,54,52,1,24
10-12,46,25,15,49,7,32,3,31,18,27,3,15,4,8,55,50,1,23
11-12,45,24,14,37,6,27,3,28,18,28,3,15,4,9,53,54,1,20
12-12,52,23,16,41,5,18,3,26,18,23,0,19,2,8,46,56,1,19
1-13,54,29,18,32,6,22,4,31,21,25,0,21,4,7,43,58,2,27
2-13,52,31,17,42,8,32,3,33,24,26,3,21,5,8,64,61,2,30
3-13,55,30,17,37,8,27,3,32,25,27,2,21,4,8,52,59,2,31
4-13,55,32,17,34,8,27,4,30,25,26,3,18,3,11,61,54,2,27
5-13,52,32,17,32,7,22,3,29,25,24,0,15,4,14,51,58,2,26
6-13,53,28,17,27,6,14,3,30,20,22,0,16,5,15,39,56,2,27
7-13,53,26,17,27,6,12,3,29,18,22,3,14,4,15,39,56,2,27
8-13,51,26,17,26,5,12,4,30,20,20,2,14,5,11,30,57,2,26
9-13,60,26,15,34,8,25,3,32,18,24,0,15,3,6,61,49,1,26
10-13,59,26,16,46,8,37,3,36,20,27,0,18,5,6,61,49,1,21
11-13,59,25,19,40,6,26,3,31,19,28,3,16,5,6,56,59,2,23
12-13,62,24,16,37,6,21,3,28,18,26,0,16,4,5,44,70,2,20
1-14,64,31,19,32,6,21,5,32,19,25,0,20,4,6,48,71,2,27
2-14,65,29,18,40,8,30,4,35,23,30,0,19,6,7,65,63,2,28
3-14,61,28,18,40,9,29,4,32,25,28,3,18,4,6,55,65,2,27
4-14,59,30,17,40,8,29,4,35,25,27,3,19,4,10,61,57,2,28
5-14,62,27,17,33,6,22,4,32,24,24,2,17,6,12,47,56,2,28
6-14,59,27,16,29,6,14,3,30,20,21,0,15,7,16,38,61,2,25
7-14,61,27,16,28,6,12,3,32,19,21,2,15,4,17,39,62,2,24
8-14,56,25,16,27,5,12,3,29,18,20,0,16,2,10,34,55,2,22
9-14,58,25,14,36,8,25,3,34,18,24,0,16,5,6,59,53,2,23
10-14,61,27,15,48,7,31,3,36,21,28,0,15,4,8,63,55,2,23
11-14,62,26,16,43,6,26,3,30,21,27,2,18,7,7,55,59,2,21
12-14,68,24,15,42,5,20,3,29,25,24,2,18,2,5,45,64,2,19
1-15,65,26,17,36,6,22,4,30,21,22,2,18,6,5,46,66,2,24
2-15,58,27,16,43,7,30,4,32,23,26,3,19,5,5,61,61,2,23
3-15,61,27,16,45,8,32,4,32,23,28,3,19,5,6,62,59,2,23
4-15,59,28,16,43,8,30,4,30,25,26,2,19,7,10,61,54,2,22
5-15,58,27,15,40,5,24,6,31,24,23,2,13,4,15,42,55,2,23
6-15,56,26,14,34,5,14,5,30,19,23,2,14,5,21,37,58,2,20
7-15,62,27,16,32,5,12,4,27,19,21,0,12,4,13,36,57,2,22
8-15,61,26,16,32,5,12,4,31,18,22,0,16,6,9,34,57,2,23
9-15,62,26,16,41,7,24,4,33,19,25,0,17,6,6,60,49,2,22
10-15,67,27,15,48,7,31,4,34,21,30,0,17,4,9,59,52,2,20
11-15,59,25,15,49,6,27,4,31,20,29,3,16,5,7,54,54,2,19
12-15,69,25,15,49,5,20,4,31,29,27,2,15,5,6,47,66,3,17
1-16,64,24,16,36,5,19,4,36,20,25,2,13,4,6,43,76,2,20
2-16,66,28,15,51,7,29,4,38,26,29,3,17,5,7,61,71,2,20
3-16,64,25,15,49,7,30,4,43,28,28,2,13,6,9,54,69,2,20
4-16,63,26,15,49,7,29,5,39,25,26,2,13,7,11,58,68,2,20
5-16,62,25,14,39,5,22,5,37,24,23,0,15,6,15,38,67,2,19
6-16,64,23,14,36,5,14,5,37,20,20,2,13,5,17,33,61,2,18
7-16,60,24,14,36,4,10,5,31,19,21,0,10,3,13,32,66,2,18
8-16,57,24,13,37,4,10,4,32,21,24,2,14,4,10,29,55,2,17
9-16,60,24,13,47,6,22,5,37,18,24,2,13,4,8,54,55,2,17
10-16,68,24,14,60,6,28,4,36,22,33,2,14,5,8,45,56,2,17
11-16,59,23,13,58,5,24,4,35,20,32,2,13,3,7,47,70,1,14
12-16,64,23,15,69,4,17,4,32,27,29,2,13,5,5,36,86,2,14
1-17,64,27,17,58,5,19,5,38,22,28,2,15,5,7,43,81,2,20
2-17,69,28,15,65,6,30,5,43,30,33,3,18,7,8,57,76,2,19
3-17,65,28,16,61,8,31,5,41,27,34,3,16,5,8,54,76,2,20
4-17,67,29,18,58,7,33,6,41,28,29,3,17,6,10,48,78,2,20
5-17,65,29,17,47,5,19,6,40,22,27,2,13,5,12,37,78,2,20
6-17,65,29,19,36,5,16,6,40,21,24,3,16,5,20,34,74,2,20
7-17,76,28,18,36,5,11,6,38,20,24,3,13,4,16,31,84,2,20
8-17,62,29,17,34,5,11,6,37,19,22,2,16,7,9,33,77,2,21
9-17,61,26,16,42,6,20,6,46,20,27,2,16,5,9,49,68,2,20
10-17,64,25,18,66,6,29,6,46,20,35,3,18,5,10,53,74,2,19
11-17,66,26,19,61,6,25,6,48,22,35,3,17,4,8,49,83,2,18
12-17,67,25,18,67,4,16,7,42,27,32,2,15,4,6,36,94,2,17
1-18,66,29,26,53,6,20,9,47,23,37,2,19,7,6,41,99,2,23
2-18,66,34,23,60,7,28,8,46,29,40,4,19,7,9,53,89,3,23
3-18,68,29,22,55,7,28,9,44,30,36,3,21,5,10,51,85,2,23
4-18,66,27,23,50,7,26,9,41,29,32,2,17,6,10,53,79,2,24
5-18,65,25,22,42,5,20,8,41,26,29,2,17,6,12,37,72,2,22
6-18,67,26,22,35,5,13,8,42,21,26,2,18,5,13,36,75,2,21
7-18,69,27,24,34,5,11,8,39,20,27,2,19,6,14,31,78,2,23
8-18,62,27,27,33,5,12,8,38,19,25,2,17,4,8,33,71,2,22
9-18,61,24,23,45,6,20,7,38,19,31,2,15,5,10,53,69,2,21
10-18,60,24,22,61,6,30,8,41,20,39,2,17,5,9,49,70,2,21
11-18,63,24,25,53,5,23,8,35,21,37,3,19,5,9,50,81,2,19
12-18,66,24,22,52,5,15,8,39,29,34,2,19,4,4,38,90,2,17
1-19,67,29,31,46,5,19,10,35,26,35,3,20,6,7,41,88,2,25
2-19,64,27,26,47,6,25,10,39,29,37,2,20,6,8,56,89,2,24
3-19,67,26,25,51,7,26,10,39,33,37,2,21,6,9,46,88,2,23
4-19,67,26,23,51,8,26,11,37,31,37,3,15,8,12,50,81,2,23
5-19,62,24,21,43,6,20,11,39,23,35,2,16,7,14,38,83,2,21
6-19,65,24,22,37,5,12,12,39,21,32,2,24,7,18,35,82,2,22
7-19,62,24,22,30,5,10,12,38,19,34,3,23,7,16,32,85,2,22
8-19,60,23,23,31,5,10,13,34,20,30,3,17,6,11,27,78,2,21
9-19,64,22,23,40,6,19,13,36,22,35,2,17,7,10,48,69,2,21
10-19,61,23,24,59,6,27,13,38,27,40,2,17,6,10,43,73,2,20
11-19,56,23,26,49,5,20,13,35,29,41,2,18,9,7,43,84,2,19
12-19,59,24,22,45,5,15,13,32,32,35,3,18,6,7,40,88,2,18
1-20,60,25,28,43,6,16,17,37,28,39,2,23,6,8,43,85,3,25
2-20,61,24,25,50,7,24,17,38,32,41,4,26,9,9,51,84,2,25
3-20,100,22,24,52,6,24,16,34,30,34,3,22,8,8,41,78,2,18
4-20,90,23,31,58,6,27,28,35,35,34,3,27,8,12,46,92,2,18
5-20,75,24,27,47,5,18,38,39,34,37,3,26,9,16,40,100,3,19
6-20,69,24,23,43,4,13,45,37,30,34,2,24,6,18,37,96,2,19
7-20,63,24,26,41,5,11,48,37,27,34,4,23,7,15,41,90,2,19
8-20,64,22,22,40,5,11,46,35,27,33,2,22,7,12,44,80,2,19
9-20,58,22,22,50,6,21,38,38,25,40,2,20,8,8,56,71,2,17
10-20,61,25,22,62,5,28,36,37,30,41,2,18,7,10,52,82,2,19
11-20,56,22,23,48,4,19,35,31,27,37,1,20,6,7,43,76,2,16
12-20,59,25,23,44,4,14,37,33,31,37,2,21,7,4,37,94,2,15
1-21,59,27,27,39,5,15,45,35,31,39,2,22,9,7,39,91,2,21
2-21,63,29,29,40,5,23,43,39,35,42,3,23,6,6,46,87,2,22
3-21,60,29,23,55,6,25,43,38,42,41,2,21,9,8,43,79,2,19
4-21,60,28,24,48,5,21,40,38,44,39,3,18,6,9,46,76,3,21
5-21,64,25,23,38,5,16,36,40,77,35,2,18,7,11,37,76,2,21
6-21,60,24,21,36,5,11,33,40,94,32,3,16,7,15,36,69,2,20
7-21,57,24,19,36,5,10,33,37,92,33,3,16,6,16,32,70,2,20
8-21,56,23,21,37,5,9,32,35,90,30,2,15,5,12,31,68,3,19
9-21,58,23,18,40,5,16,31,39,100,32,2,13,6,11,48,60,3,17
10-21,56,25,18,54,5,21,27,38,92,37,2,17,5,8,45,62,3,18
11-21,58,24,20,44,5,18,32,36,90,37,3,16,7,7,47,73,2,18
12-21,57,25,19,39,4,12,27,33,83,31,1,16,5,7,32,73,2,15
1-22,62,28,26,43,6,17,41,38,68,38,0,23,7,6,42,80,2,25
2-22,67,28,24,58,8,25,38,44,74,44,3,26,8,8,58,81,3,25
3-22,65,30,22,64,8,30,41,45,73,47,4,25,7,12,59,75,3,24
4-22,64,30,22,61,8,29,40,44,65,43,4,23,9,16,55,73,3,25
5-22,58,25,21,50,6,21,36,41,59,36,3,18,7,16,40,66,3,23
6-22,64,26,22,43,6,12,36,43,59,34,2,19,6,18,34,71,3,23
7-22,63,26,22,46,7,11,40,41,58,34,3,17,8,18,37,72,2,23
8-22,63,25,21,45,10,12,40,39,58,35,2,22,7,18,35,66,3,23
9-22,59,26,19,53,7,20,38,39,56,39,3,20,6,14,47,62,3,21
10-22,63,26,20,67,7,27,38,40,58,45,3,21,7,13,51,62,2,22
11-22,63,28,21,58,7,26,39,37,58,45,3,20,6,9,47,68,3,20
12-22,65,25,22,51,6,16,42,36,63,42,3,20,6,7,40,82,3,21
1-23,66,29,23,52,7,18,48,41,58,43,3,22,7,8,50,75,3,25
2-23,65,30,23,62,8,30,51,46,51,46,5,24,10,10,58,77,3,28
3-23,63,30,22,63,9,31,54,43,38,46,3,22,8,12,48,71,3,28
4-23,66,27,21,58,8,25,56,42,39,44,3,21,7,13,47,71,3,27
5-23,62,26,20,49,8,21,59,46,36,39,3,21,11,20,43,70,3,25
6-23,69,26,22,47,7,14,59,47,28,35,3,20,8,20,37,74,3,26
7-23,69,26,22,47,7,11,60,44,27,36,3,18,8,18,34,77,3,25
8-23,63,26,22,45,7,11,59,40,26,33,3,18,9,14,36,66,3,23
9-23,67,25,21,55,7,18,54,44,25,39,4,18,9,14,52,64,3,23
10-23,66,25,21,71,7,27,52,44,30,47,3,18,9,14,53,65,3,23
11-23,71,27,21,63,7,24,55,44,27,46,3,20,9,11,48,73,3,22
12-23,71,25,22,58,7,16,61,40,32,42,3,20,8,7,38,81,3,24
1-24,68,28,22,53,7,18,68,42,32,44,3,18,8,8,41,82,3,28
2-24,79,28,22,66,8,26,59,49,38,48,4,21,11,12,55,73,3,28
3-24,80,26,22,66,8,24,65,42,43,46,4,21,9,12,48,69,3,30
4-24,83,25,21,58,9,24,60,46,39,44,4,18,10,12,46,72,3,28
5-24,78,26,22,55,7,19,54,43,32,37,5,17,9,16,42,68,3,27
6-24,77,28,24,51,7,12,58,44,27,36,3,20,9,18,33,71,3,27
7-24,77,25,23,52,7,10,61,41,26,33,3,17,11,17,32,69,3,27
8-24,78,25,21,52,7,11,54,41,27,37,3,15,9,16,35,67,3,26
9-24,78,29,21,62,9,18,52,46,24,39,4,15,11,12,50,64,3,26
10-24,84,25,21,75,8,23,49,46,27,45,4,17,10,13,46,65,3,33
11-24,84,27,21,67,7,19,51,41,28,46,3,19,10,10,45,72,3,28
12-24,91,28,22,60,7,15,57,37,26,42,3,18,11,10,40,92,3,31
1-25,90,31,26,60,8,18,58,42,31,41,3,22,11,8,44,85,4,31
2-25,93,30,21,65,9,21,61,46,35,47,4,21,9,10,52,78,4,31
3-25,99,27,23,67,9,23,70,44,40,46,4,19,11,15,45,74,3,29
4-25,98,34,20,66,9,23,64,45,41,41,3,16,10,13,42,75,3,28
